Day,Month,Year,MODIS_B01,MODIS_B02,MODIS_B03,MODIS_B04,MODIS_B05,MODIS_B06,MODIS_B07,Salinity
2003,8,2003,0.0837994836488812,0.0837994836488812,0.0837994836488812,0.0837994836488812,0.0837994836488812,0.1465146299483649,0.0837994836488812,27.35
2018,5,2018,0.0,0.006709472621023,0.0,0.0,0.006709472621023,0.0,0.0,21.04
2003,1,2003,0.0,0.0,0.0,0.0,0.0,0.0405550774526678,0.0,5.15
2015,4,2015,0.0,0.0,0.0,0.0,0.0,0.0352788399105403,0.0,29.42
2012,6,2012,0.1515705679862306,0.1515705679862306,0.1515705679862306,0.1515705679862306,0.1515705679862306,0.1971815834767642,0.1515705679862306,27.16
2014,2,2014,0.0132025106413678,0.0132025106413678,0.0132025106413678,0.0132025106413678,0.0132025106413678,0.064281076401414,0.0240242406752759,24.68
2018,9,2018,0.0826839826839826,0.0826839826839826,0.0826839826839826,0.0826839826839826,0.0826839826839826,0.1258658008658008,0.0826839826839826,29.79
2016,9,2016,0.0573593073593073,0.0573593073593073,0.0573593073593073,0.0573593073593073,0.0632034632034632,0.0963203463203463,0.0573593073593073,30.83
2006,3,2006,0.6866387706514682,0.6866387706514682,0.6866387706514682,0.6866387706514682,0.6991919774908015,0.9983045956280212,0.6866387706514682,20.84
2015,4,2015,0.0009739557030517,0.0009739557030517,0.0009739557030517,0.0009739557030517,0.0009739557030517,0.0082245148257701,0.0009739557030517,28.42
2001,3,2001,0.0003246519010172,0.0003246519010172,0.0003246519010172,0.0003246519010172,0.0003246519010172,0.0003246519010172,0.0003246519010172,25.99
2019,7,2019,0.0279200634874828,0.0345213188081668,0.0279200634874828,0.0279200634874828,0.0337637977057932,0.2300699805208859,0.0279200634874828,26.95
2005,12,2005,0.0001075731497418,0.0001075731497418,0.0001075731497418,0.0001075731497418,0.0001075731497418,0.0020438898450946,0.0001075731497418,29.68
2017,6,2017,0.0061683861193276,0.0061683861193276,0.0061683861193276,0.0061683861193276,0.0061683861193276,0.0628742514970059,0.0061683861193276,26.59
2015,5,2015,0.0204388984509466,0.0204388984509466,0.0204388984509466,0.0204388984509466,0.0204388984509466,0.1055292598967297,0.0271084337349397,29.43
2011,11,2011,0.2253084193059663,0.4960681047543467,0.2320178919269894,0.2253084193059663,0.3919630618281509,0.47096169107568,0.2377534088449606,29.27
2019,4,2019,0.0761849794387129,0.1020489142197532,0.0761849794387129,0.0761849794387129,0.1143856864584084,0.1451193997547074,0.0761849794387129,19.33
2003,12,2003,0.006709472621023,0.2826635884856792,0.006709472621023,0.006709472621023,0.0720727220258278,0.006709472621023,0.006709472621023,27.78
2015,3,2015,0.1056368330464716,0.1123063683304647,0.1056368330464716,0.1056368330464716,0.1056368330464716,0.3029259896729776,0.1056368330464716,25.66
2003,3,2003,0.0,0.0,0.0,0.0,0.0,0.0102813852813852,0.0,21.01
2010,2,2010,0.1600688468158347,0.2038511187607573,0.1658777969018932,0.1600688468158347,0.2039586919104991,0.354776247848537,0.1857788296041308,24.38
2008,7,2008,0.0,0.0,0.0,0.0,0.0,0.0075757575757575,0.0,30.34
2008,8,2008,0.0,0.0,0.0,0.0,0.0019480519480519,0.0467532467532467,0.0,30.71
2013,3,2013,0.0,0.0,0.0,0.0,0.0,0.0007575757575757,0.0,23.21
2016,2,2016,0.0,0.0133107279417069,0.0,0.0,0.0,0.0,0.0,24.02
2003,1,2003,0.0,0.0,0.0,0.0,0.0,0.0121557659208261,0.0,1.12
2003,8,2003,0.0163419913419913,0.0163419913419913,0.0163419913419913,0.0163419913419913,0.0163419913419913,0.0163419913419913,0.0163419913419913,25.59
2011,3,2011,0.0012987012987012,0.0012987012987012,0.0012987012987012,0.0012987012987012,0.0012987012987012,0.0617965367965367,0.0016233766233766,20.24
2018,12,2018,0.0,0.0,0.0,0.0,0.0,0.0128012048192771,0.0,30.76
2008,5,2008,0.302467354447731,0.302467354447731,0.302467354447731,0.302467354447731,0.315778082389438,0.4129572180939326,0.302467354447731,29.33
2018,4,2018,0.0,0.0039802065404475,0.0,0.0,0.0,0.0,0.0,23.12
2010,5,2010,0.0,0.0,0.0,0.0,0.0,0.0001075731497418,0.0,8.51
2016,11,2016,0.0431787028352932,0.0431787028352932,0.0431787028352932,0.0431787028352932,0.0449101796407185,0.0654714667051439,0.0431787028352932,30.3
2018,6,2018,0.0199134199134199,0.0199134199134199,0.0199134199134199,0.0199134199134199,0.0199134199134199,0.0199134199134199,0.0199134199134199,25.43
2015,4,2015,0.013418945242046,0.013418945242046,0.013418945242046,0.013418945242046,0.013418945242046,0.2771445061683861,0.013418945242046,29.62
2010,3,2010,0.001828743545611,0.001828743545611,0.001828743545611,0.001828743545611,0.001828743545611,0.0019363166953528,0.001828743545611,23.53
2004,2,2004,0.0066695352839931,0.0066695352839931,0.0066695352839931,0.0066695352839931,0.0066695352839931,0.0203313253012048,0.0066695352839931,23.92
2003,4,2003,0.0243506493506493,0.0243506493506493,0.0243506493506493,0.0243506493506493,0.0309523809523809,0.0873376623376623,0.0243506493506493,22.55
2004,12,2004,0.0,0.0,0.0,0.0,0.0,0.0155832912488276,0.0,29.27
2011,10,2011,0.0,0.0,0.0,0.0,0.0,0.0065619621342512,0.0,28.8
2015,1,2015,0.009789156626506,0.009789156626506,0.009789156626506,0.009789156626506,0.009789156626506,0.0130163511187607,0.009789156626506,25.79
2006,3,2006,0.0012987012987012,0.0012987012987012,0.0012987012987012,0.0012987012987012,0.0012987012987012,0.0519480519480519,0.0012987012987012,11.95
2016,7,2016,0.016124377750523,0.016124377750523,0.016124377750523,0.016124377750523,0.016124377750523,0.0292186710915518,0.016124377750523,30.03
2018,7,2018,0.0195887445887445,0.0195887445887445,0.0195887445887445,0.0195887445887445,0.025,0.0311688311688311,0.025,28.87
2011,11,2011,0.0,0.0,0.0,0.0,0.0,0.0001082251082251,0.0,25.55
2001,10,2001,0.0756493506493506,0.0756493506493506,0.0756493506493506,0.0756493506493506,0.0813852813852813,0.0756493506493506,0.0756493506493506,30.71
2016,4,2016,0.0,0.0,0.0,0.0,0.0067099567099567,0.0165584415584415,0.0,20.1
2017,4,2017,0.0,0.0,0.0,0.0,0.0,0.0210843373493975,0.0,0.68
2013,7,2013,0.0084982788296041,0.0084982788296041,0.0084982788296041,0.0084982788296041,0.0084982788296041,0.0157056798623063,0.0084982788296041,30.94
2021,10,2021,0.0,0.0,0.0,0.0,0.0054112554112554,0.0416666666666666,0.0,10.62
2015,1,2015,0.0567058653776783,0.06828511651396,0.0567058653776783,0.0567058653776783,0.0633071206983623,0.2491162253805641,0.0567058653776783,30.48
2016,8,2016,0.0,0.0,0.0,0.0,0.0,0.0104345955249569,0.0,30.78
2016,3,2016,0.0,0.0,0.0,0.0,0.0,0.037012987012987,0.0,2.41
2005,1,2005,0.0382034632034632,0.0382034632034632,0.058008658008658,0.0382034632034632,0.0806277056277056,1.1822510822510823,0.0382034632034632,0.19
2015,6,2015,0.0961038961038961,0.0961038961038961,0.0961038961038961,0.0961038961038961,0.0961038961038961,0.1281385281385281,0.0961038961038961,30.81
2015,5,2015,1.3746843662073442,1.3994661279849938,1.3746843662073442,1.3746843662073442,1.386371834643965,1.992496933843157,1.4004400836880455,31.04
2010,4,2010,0.0,0.0,0.0,0.0,0.0,0.0045454545454545,0.0,22.73
2004,1,2004,0.1091912560421326,0.4052737897698579,0.1370031022292764,0.1024817834211095,0.4352499819637833,0.7369598153091408,0.1392756655363971,22.5
2014,4,2014,0.0,0.0,0.0,0.0,0.0,0.0066012553206839,0.0,28.92
2009,6,2009,0.0,0.0,0.0,0.0,0.0,0.0080679862306368,0.0,28.83
2003,5,2003,0.7303141135972461,0.7369836488812392,0.7552710843373494,0.7303141135972461,0.7829173838209983,1.096815834767642,0.7303141135972461,25.97
2020,10,2020,0.0,0.0192626794603563,0.0,0.0,0.0,0.0,0.0,31.37
2009,12,2009,0.0,0.0,0.0,0.0,0.0,0.0037876055118678,0.0,31.48
2020,3,2020,0.0,0.0828944520597359,0.0,0.0,0.0,0.0227256330712069,0.0,26.89
2001,2,2001,0.0379870129870129,0.0379870129870129,0.0379870129870129,0.0379870129870129,0.0379870129870129,0.0379870129870129,0.0741341991341991,27.32
2018,4,2018,0.0,0.0,0.0,0.0,0.0,0.0082245148257701,0.0,16.87
2012,7,2012,0.0,0.0,0.0,0.0,0.0,0.1007960413080895,0.0,29.19
2019,8,2019,0.0,0.0,0.0,0.0,0.0022005772005772,0.0,0.0,0.08
2016,2,2016,0.0,0.0,0.0,0.0,0.0,0.0067099567099567,0.0,0.13
2010,3,2010,0.0024741824440619,0.0024741824440619,0.0024741824440619,0.0024741824440619,0.0024741824440619,0.0024741824440619,0.0024741824440619,22.18
2016,3,2016,0.0066012553206839,0.0066012553206839,0.0066012553206839,0.0066012553206839,0.0066012553206839,0.0404732703268162,0.0066012553206839,17.85
2001,3,2001,0.0077916456244138,0.0077916456244138,0.0077916456244138,0.0077916456244138,0.0077916456244138,0.0077916456244138,0.0240242406752759,25.59
2014,8,2014,0.3117469879518072,0.3117469879518072,0.3117469879518072,0.3117469879518072,0.3117469879518072,0.338209982788296,0.3117469879518072,32.8
2005,10,2005,0.0,0.006709472621023,0.0,0.0,0.0,0.0,0.0,31.17
2005,10,2005,0.0,0.0,0.0,0.0,0.0,0.0027969018932874,0.0,28.98
